sim_id,trial_id,p_diff,n_raters,scores_per_r,total_scores,propz_pval,bht_pval
914,0,0.055,23,58,1300,0.663787036811124,0.5389055472263867
582,0,0.055,44,30,1300,0.0183215933605441,0.0975
748,0,0.055,50,26,1300,0.0464526085965243,0.208
416,0,0.055,16,82,1300,0.0586565610063267,0.1129573170731707
82,0,0.055,17,77,1300,0.2327332796657992,0.34957983193277314
249,0,0.055,15,90,1300,0.0639190629740579,0.12133333333333328
915,0,0.055,22,61,1300,0.0014917360162241,0.01743666169895676
583,0,0.055,82,16,1300,0.0409754182236997,0.12583841463414625
749,0,0.055,19,71,1300,0.0004080424980011,0.01349147516679014
417,0,0.055,20,66,1300,0.0026553569752318,0.07090909090909085
83,0,0.055,16,83,1300,0.0003538584315931,0.014683734939758952
250,0,0.055,14,94,1300,0.5347322470644693,0.48206686930091186
916,0,0.055,41,32,1300,0.0004438543677893,0.01684451219512191
584,0,0.055,15,90,1300,0.0016640145466089,0.028888888888888856
750,0,0.055,16,84,1300,3.701674874779251e-06,0.00096726190476188
418,0,0.055,22,60,1300,0.0352837192168973,0.08272727272727268
84,0,0.055,21,63,1300,0.010208031574758,0.06092214663643225
251,0,0.055,100,13,1300,0.008850611466281,0.05899999999999989
917,0,0.055,57,23,1300,0.0391473001012084,0.09816933638443932
585,0,0.055,42,31,1300,0.0209881561796339,0.19969278033794155
751,0,0.055,16,86,1300,0.0559204196176803,0.11998546511627897
419,0,0.055,22,60,1300,0.0017555517260044,0.01674242424242414
252,0,0.055,19,69,1300,0.0247259389469055,0.09221967963386724
85,0,0.055,19,70,1300,0.0038705527649291,0.05473684210526311
918,0,0.055,45,29,1300,0.0691280396034894,0.18927203065134088
586,0,0.055,15,91,1300,9.453616503459076e-06,0.0028571428571427296
752,0,0.055,38,35,1300,0.0512209404004516,0.12511278195488723
420,0,0.055,45,29,1300,0.0487959067320081,0.09762452107279691
253,0,0.055,45,29,1300,0.0069626203519736,0.051800766283524834
919,0,0.055,24,55,1300,0.0977489959476226,0.1595454545454545
86,0,0.055,18,73,1300,1.1409117693174542e-06,0.0
587,0,0.055,15,87,1300,0.0015868847043565,0.0328735632183907
421,0,0.055,15,88,1300,0.0548213462213161,0.21469696969696964
753,0,0.055,87,15,1300,0.549615234371824,0.5150191570881226
920,0,0.055,23,57,1300,0.0206417854269835,0.07734553775743705
254,0,0.055,93,14,1300,0.0058175098899537,0.03195084485407061
87,0,0.055,28,48,1300,0.7315134220394044,0.6103422619047619
588,0,0.055,23,57,1300,0.2372865654003755,0.28360030511060247
422,0,0.055,19,72,1300,0.2293054131134238,0.32119883040935665
754,0,0.055,14,99,1300,2.044811276911376e-06,0.00375180375180364
255,0,0.055,14,96,1300,0.0107389669908195,0.059970238095237986
921,0,0.055,16,86,1300,0.0089729950394166,0.07463662790697673
88,0,0.055,20,65,1300,0.0771743005341606,0.185
589,0,0.055,16,82,1300,0.0243136207492026,0.09016768292682917
423,0,0.055,28,47,1300,0.0528934069822726,0.14422492401215795
755,0,0.055,17,79,1300,0.0795613564099358,0.1635889798957557
922,0,0.055,49,27,1300,0.3025709279385298,0.3704459561602419
256,0,0.055,28,48,1300,0.0133132367015688,0.05706845238095235
89,0,0.055,37,36,1300,4.390357439646322e-07,0.0029279279279278603
590,0,0.055,17,79,1300,0.0060668742488369,0.037751303052866655
923,0,0.055,32,41,1300,0.0941378262986799,0.15358231707317072
756,0,0.055,22,61,1300,0.0017221838815589,0.03487332339791352
424,0,0.055,15,92,1300,4.677817764567263e-05,0.01601449275362313
757,0,0.055,47,28,1300,0.067439771241358,0.19559270516717323
257,0,0.055,17,81,1300,0.0136146209434506,0.06891793754538848
90,0,0.055,52,25,1300,0.4518274955813753,0.461
591,0,0.055,19,71,1300,0.0918962140641934,0.17442550037064491
425,0,0.055,20,67,1300,0.016449889512862,0.07276119402985068
924,0,0.055,29,46,1300,0.0004032152735799,0.01851574212893548
258,0,0.055,28,48,1300,1.9143738218748493e-05,0.00096726190476188
91,0,0.055,20,68,1300,0.0222647117051906,0.08602941176470588
426,0,0.055,26,50,1300,0.3143785881504192,0.4709999999999999
592,0,0.055,15,91,1300,0.0009020764343059,0.02190476190476184
925,0,0.055,19,72,1300,0.0002021981010637,0.012353801169590528
758,0,0.055,52,25,1300,0.021845771467081,0.10899999999999994
92,0,0.055,17,79,1300,0.3617096568663074,0.4113924050632911
259,0,0.055,38,35,1300,0.1886065757992712,0.36263157894736836
427,0,0.055,93,14,1300,0.0874841287318652,0.2206605222734254
593,0,0.055,93,14,1300,0.3051347566805588,0.3953917050691244
926,0,0.055,87,15,1300,0.0370942320728089,0.07969348659003823
759,0,0.055,14,97,1300,0.0997121281201834,0.18092783505154633
93,0,0.055,25,54,1300,0.1268920575908718,0.153111111111111
260,0,0.055,37,36,1300,0.0422662631250674,0.12687687687687674
428,0,0.055,119,11,1300,0.2397210702294641,0.26715049656226125
594,0,0.055,60,22,1300,0.240379517924084,0.23636363636363636
927,0,0.055,37,36,1300,0.0065321857912414,0.041966966966966855
760,0,0.055,21,63,1300,0.8229979996885064,0.689795918367347
94,0,0.055,40,33,1300,0.0139318675073109,0.08568181818181818
261,0,0.055,17,77,1300,0.2211698432048453,0.3466004583651643
429,0,0.055,65,20,1300,0.0372162380210763,0.13199999999999995
595,0,0.055,36,37,1300,0.4527635069742969,0.4918918918918919
928,0,0.055,21,64,1300,0.0931630519540566,0.17797619047619045
761,0,0.055,44,30,1300,0.0013934373972475,0.019696969696969633
95,0,0.055,25,54,1300,0.025895628309166,0.09822222222222216
430,0,0.055,16,83,1300,0.0015019168985063,0.028388554216867392
262,0,0.055,100,13,1300,0.0022819668037154,0.021999999999999967
596,0,0.055,34,39,1300,0.3009132697404211,0.3774509803921568
929,0,0.055,32,41,1300,0.0532191990951656,0.10602134146341452
762,0,0.055,34,39,1300,6.744203081980824e-05,0.00490196078431371
96,0,0.055,14,97,1300,1.20594739822683e-06,0.00191458026509568
263,0,0.055,100,13,1300,0.351654944812891,0.412
431,0,0.055,14,98,1300,0.7397139242170306,0.6727405247813412
597,0,0.055,30,44,1300,0.0149370255486871,0.08371212121212109
930,0,0.055,77,17,1300,0.0267635537896444,0.10924369747899154
763,0,0.055,14,95,1300,0.2042327271370557,0.26
97,0,0.055,41,32,1300,0.0127172059982131,0.0802591463414633
264,0,0.055,87,15,1300,0.2070244083166825,0.30781609195402304
432,0,0.055,52,25,1300,0.5,0.49299999999999994
